fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2012-12-31,USD,21060000000,54512000000,33452000000,33452000000,17210000000,2840000000,1010000000,3850000000,None,None,None,462000000,None,462000000,None,1588000000,17672000000,4594000000,None,13078000000,None,17672000000,19260000000,13078000000
2012-09-30,USD,13871000000,37472000000,23601000000,23601000000,10030000000,1573000000,1168000000,3841000000,None,None,None,83000000,None,-51000000,None,1783000000,10143000000,2631000000,None,8223000000,None,10226000000,12009000000,7512000000
2012-06-30,USD,14994000000,35023000000,20029000000,20029000000,11573000000,2545000000,876000000,3421000000,None,None,None,288000000,None,288000000,None,835000000,11861000000,3037000000,None,8824000000,None,11861000000,12696000000,8824000000
2012-03-31,USD,18564000000,39186000000,20622000000,20622000000,15384000000,2339000000,841000000,3180000000,None,None,None,148000000,None,148000000,None,740000000,15532000000,3910000000,None,11622000000,None,15384000000,16124000000,11622000000
2011-12-31,USD,20703000000,46333000000,25630000000,25630000000,17340000000,2605000000,758000000,3363000000,None,None,None,137000000,None,137000000,None,721000000,17477000000,4413000000,None,13064000000,None,17340000000,18061000000,13064000000
2011-09-30,USD,11380000000,28270000000,16890000000,16890000000,8710000000,2025000000,645000000,2670000000,None,None,None,81000000,None,81000000,None,543000000,8791000000,2168000000,None,6623000000,None,8710000000,9253000000,6623000000
2011-06-30,USD,11922000000,28571000000,16649000000,16649000000,9379000000,1915000000,628000000,2543000000,None,None,None,172000000,None,172000000,None,481000000,9551000000,2243000000,None,7308000000,None,9379000000,9860000000,7308000000
2011-03-31,USD,10218000000,24667000000,14449000000,14449000000,7874000000,1763000000,581000000,2344000000,None,None,None,26000000,None,26000000,None,434000000,7900000000,1913000000,None,5987000000,None,7874000000,8308000000,5987000000
2010-12-31,USD,10298000000,26741000000,16443000000,16443000000,7827000000,1896000000,575000000,2471000000,None,None,None,136000000,None,136000000,None,356000000,7963000000,1959000000,None,6004000000,None,7827000000,8183000000,6004000000
2010-09-30,USD,7512000000,20343000000,12831000000,12831000000,5447000000,1571000000,494000000,2065000000,None,None,None,14000000,None,14000000,None,329000000,5461000000,1153000000,None,4308000000,None,5447000000,5776000000,4308000000
2010-06-30,USD,6136000000,15700000000,9564000000,9564000000,4234000000,1438000000,464000000,1902000000,None,None,None,58000000,None,58000000,None,273000000,4292000000,1039000000,None,3253000000,None,4234000000,4507000000,3253000000
2010-03-31,USD,5625000000,13499000000,7874000000,7874000000,3979000000,1220000000,426000000,1646000000,None,None,None,266000000,None,50000000,None,216000000,4029000000,955000000,None,3074000000,None,3979000000,4195000000,3074000000
2009-12-31,USD,6411000000,15683000000,9272000000,9272000000,4725000000,1288000000,398000000,1686000000,None,None,None,33000000,None,33000000,None,209000000,4758000000,1380000000,None,3378000000,None,4725000000,4934000000,3378000000
2009-09-30,USD,3614000000,9870000000,6256000000,6256000000,2193000000,1063000000,358000000,1421000000,None,None,None,45000000,None,None,None,197000000,2238000000,573000000,None,0,None,2193000000,2390000000,1665000000
2009-06-30,USD,3983000000,9734000000,5751000000,5751000000,2632000000,1010000000,341000000,1351000000,None,None,None,236000000,None,60000000,None,182000000,2692000000,864000000,None,1229000000,None,2632000000,2814000000,1828000000
2009-03-31,USD,3627000000,9084000000,5457000000,5457000000,2323000000,985000000,319000000,1304000000,None,None,None,63000000,None,None,None,181000000,2386000000,766000000,None,0,None,2323000000,2504000000,1620000000
2008-12-31,USD,4507000000,11880000000,7373000000,7373000000,3101000000,1091000000,315000000,1406000000,None,None,None,158000000,None,None,None,168000000,3259000000,1004000000,None,0,None,3101000000,3269000000,2255000000
2008-09-30,USD,2739000000,7895000000,5156000000,5156000000,1442000000,999000000,298000000,1297000000,None,None,None,140000000,None,None,None,134000000,1582000000,446000000,None,0,None,1442000000,1576000000,1136000000
2008-06-30,USD,2600000000,7464000000,4864000000,4864000000,1392000000,916000000,292000000,1208000000,None,None,None,118000000,None,None,None,117000000,1510000000,438000000,None,0,None,1392000000,1509000000,1072000000
2008-03-31,USD,2474000000,7512000000,5038000000,5038000000,1315000000,886000000,273000000,1159000000,None,None,None,162000000,None,None,None,116000000,1477000000,432000000,None,0,None,1315000000,1431000000,1045000000
2007-12-31,USD,3332000000,9608000000,6276000000,6276000000,2126000000,960000000,246000000,1206000000,None,None,None,200000000,None,None,None,106000000,2326000000,745000000,None,0,None,2126000000,2232000000,1581000000
2007-09-30,USD,2090000000,6217000000,4127000000,4127000000,1060000000,823000000,207000000,1030000000,None,None,None,170000000,None,None,None,93000000,1230000000,326000000,None,0,None,1060000000,1153000000,904000000
2007-06-30,USD,1995000000,5410000000,3415000000,3415000000,1041000000,746000000,208000000,954000000,None,None,None,155000000,None,None,None,81000000,1196000000,378000000,None,0,None,1041000000,1122000000,818000000
2007-03-31,USD,1849000000,5264000000,3415000000,3415000000,986000000,680000000,183000000,863000000,None,None,None,148000000,None,None,None,69000000,1134000000,364000000,None,0,None,986000000,1055000000,770000000
2006-12-31,USD,2220000000,7115000000,4895000000,4895000000,1322000000,714000000,184000000,898000000,None,None,None,126000000,None,None,None,74000000,1448000000,444000000,None,0,None,1322000000,1396000000,1004000000
2006-09-30,USD,1412000000,4370000000,3425000000,3425000000,608000000,584000000,179000000,804000000,None,None,None,252000000,None,None,None,66000000,721000000,179000000,None,0,None,661000000,718000000,542000000
2006-06-30,USD,1325000000,4370000000,3045000000,3045000000,566000000,584000000,175000000,759000000,None,None,None,0,None,None,None,57000000,661000000,189000000,None,0,None,566000000,623000000,472000000
2006-03-31,USD,1297000000,4359000000,3062000000,3062000000,529000000,592000000,176000000,768000000,None,None,None,76000000,None,None,None,50000000,605000000,195000000,None,0,None,529000000,579000000,410000000
